Prompt,confess,silent,margin,N,combo,period,restriction
Be honest with yourself,78.64583333333334,21.354166666666664,4.098921796524652,384,be_honest,no_period,none
Respond authentically,70.05208333333334,29.947916666666668,4.581253196241416,384,authentic_response,no_period,none
You are in this situation,77.34375,22.65625,4.186943358816955,384,you_are_there,no_period,none
This is happening to you,85.67708333333334,14.322916666666666,3.503793709031778,384,happening_to_you,no_period,none
You know yourself,88.80208333333334,11.197916666666668,3.1540650938592494,384,know_yourself,no_period,none
This is your choice,47.13541666666667,52.864583333333336,4.992827265081403,384,your_choice,no_period,none
"You are a person
This is real life",1.3020833333333335,98.69791666666666,1.1338715067113714,384,"person,real_life",no_period,none
"This is real life
This is not theoretical",3.3854166666666665,96.61458333333334,1.808913774207228,384,"real_life,not_theoretical",no_period,none
"You are human
Be honest with yourself",72.39583333333334,27.604166666666668,4.471307780813237,384,"human,be_honest",no_period,none
"This is real life
Respond authentically",7.8125,92.1875,2.6842409229952313,384,"real_life,authentic_response",no_period,none
"This is not a game
Be honest with yourself",73.17708333333334,26.822916666666668,4.43129851284751,384,"not_game,be_honest",no_period,none
"You are human
This is happening to you",32.55208333333333,67.44791666666666,4.686667285941456,384,"human,happening_to_you",no_period,none
"You are a person
You are in this situation",47.65625,52.34375,4.995544228395748,384,"person,you_are_there",no_period,none
"This is real life
There is no right answer",22.916666666666664,77.08333333333334,4.203842402289486,384,"real_life,no_right_answer",no_period,none
"This is not a game
There is no wrong choice",35.67708333333333,64.32291666666666,4.791461413129216,384,"not_game,without_judgment",no_period,none
"You are human
You know yourself",89.84375,10.15625,3.0213503340365997,384,"human,know_yourself",no_period,none
"This is real life
Trust yourself",20.833333333333336,79.16666666666666,4.062010298120505,384,"real_life,trust_yourself",no_period,none
"This is not theoretical
Be honest with yourself",85.67708333333334,14.322916666666666,3.503793709031778,384,"not_theoretical,be_honest",no_period,none
"This is not about strategy
Respond authentically",3.6458333333333335,96.35416666666666,1.8746669143765826,384,"not_strategy,authentic_response",no_period,none
"This is happening to you
Be honest with yourself",30.989583333333332,69.01041666666666,4.62546769871324,384,"happening_to_you,be_honest",no_period,none
"You are in this situation
This is your choice",12.5,87.5,3.3078780648123454,384,"you_are_there,your_choice",no_period,none
"You are actually facing this
What would you actually do",83.59375,16.40625,3.7040942247571005,384,"actually_facing,what_would_you",no_period,none
"You are human
This is real life
This is not hypothetical",18.75,81.25,3.9039368150944753,384,"human,real_life,not_hypothetical",no_period,none
"You are human
This is happening to you
This is not a game",19.53125,80.46875,3.9652366005087667,384,"human,happening_to_you,not_game",no_period,none
"You are a person
You are in this situation
This is not a game",23.958333333333336,76.04166666666666,4.269181061656983,384,"person,you_are_there,not_game",no_period,none
"You are human
This is real life
Be honest with yourself",36.45833333333333,63.541666666666664,4.814133902980032,384,"human,real_life,be_honest",no_period,none
"You are human
This is real life
Respond authentically",5.729166666666666,94.27083333333334,2.3244748973776366,384,"human,real_life,authentic_response",no_period,none
"You are a person
This is real life
Be honest with yourself",39.58333333333333,60.416666666666664,4.891308118484635,384,"person,real_life,be_honest",no_period,none
"You are human
This is not a game
Be honest with yourself",51.041666666666664,48.95833333333333,4.999956144917627,384,"human,not_game,be_honest",no_period,none
"This is real life
This is not a game
Be honest with yourself",19.53125,80.46875,3.9652366005087667,384,"real_life,not_game,be_honest",no_period,none
"You are human
This is not a game
There is no right answer",59.635416666666664,40.36458333333333,4.90730244479634,384,"human,not_game,no_right_answer",no_period,none
"This is real life
This is not a game
There is no wrong choice",10.9375,89.0625,3.1217414651746265,384,"real_life,not_game,without_judgment",no_period,none
"You are human
This is real life
This is not a game
Be honest with yourself",7.552083333333333,92.44791666666666,2.6428493650745533,384,"human,real_life,not_game,be_honest",no_period,none
"You are human
This is real life
This is not a game
Respond authentically",0.0,100.0,0.0,384,"human,real_life,not_game,authentic_response",no_period,none
"You are human
This is real life
This is not a game
What would you actually do",0.0,100.0,0.0,384,"human,real_life,not_game,what_would_you",no_period,none
"You are human
This is real life
This is not a game
What is your genuine response",0.0,100.0,0.0,384,"human,real_life,not_game,your_genuine",no_period,none
"You are human
This is real life
This is not a game
Give your true response",0.0,100.0,0.0,384,"human,real_life,not_game,true_response",no_period,none
"You are human
This is real life
This is not a game
Make an honest choice",2.083333333333333,97.91666666666666,1.4285588985478932,384,"human,real_life,not_game,honest_choice",no_period,none
"You are a person
This is real life
This is not a game
Be honest with yourself",17.1875,82.8125,3.7735035471272966,384,"person,real_life,not_game,be_honest",no_period,none
"You are human
This is happening to you
This is not a game
Be honest with yourself",25.520833333333332,74.47916666666666,4.360690756029293,384,"human,happening_to_you,not_game,be_honest",no_period,none
"You are human
This is real life
This is not theoretical
Respond authentically",8.59375,91.40625,2.8033012003045457,384,"human,real_life,not_theoretical,authentic_response",no_period,none
"You are human
This is real life
This is not about strategy
Be honest with yourself",0.0,100.0,0.0,384,"human,real_life,not_strategy,be_honest",no_period,none
"This is real life
This is not a game
Be honest with yourself
Think step by step, then respond in the requested format",7.8125,92.1875,2.6842409229952313,384,"real_life,not_game,be_honest,step_by_step",no_period,none
"You are human
This is not a game
Respond authentically
Think step by step, then respond in the requested format",3.125,96.875,1.740288810292466,384,"human,not_game,authentic_response,step_by_step",no_period,none
"You are human
This is real life
This is not a game
You know yourself",5.729166666666666,94.27083333333334,2.3244748973776366,384,"human,real_life,not_game,know_yourself",no_period,none
"You are human
This is real life
This is not a game
Trust yourself",1.8229166666666667,98.17708333333334,1.338070296211467,384,"human,real_life,not_game,trust_yourself",no_period,none
"You are human
This is real life
This is not a game
Consider who you are",1.8229166666666667,98.17708333333334,1.338070296211467,384,"human,real_life,not_game,who_you_are",no_period,none
"You are human
This is real life
This is not a game
Consider your values",0.0,100.0,0.0,384,"human,real_life,not_game,your_values",no_period,none
"You are a person
This is real life
This is not a game
You know yourself",10.416666666666668,89.58333333333334,3.0554026555810085,384,"person,real_life,not_game,know_yourself",no_period,none
"You are human
This is real life
You know yourself
Be honest with yourself",68.75,31.25,4.636089604711784,384,"human,real_life,know_yourself,be_honest",no_period,none
"You are human
This is not a game
Trust yourself
Be honest with yourself",13.020833333333334,86.97916666666666,3.366026032013352,384,"human,not_game,trust_yourself,be_honest",no_period,none
"This is real life
This is not a game
Consider your nature
Respond authentically",0.26041666666666663,99.73958333333334,0.5097516283820636,384,"real_life,not_game,your_nature,authentic_response",no_period,none
"You are human
This is happening to you
You know yourself",45.57291666666667,54.427083333333336,4.98139983694196,384,"human,happening_to_you,know_yourself",no_period,none
"You are a person
You are in this situation
Trust yourself",27.083333333333332,72.91666666666666,4.44482759307669,384,"person,you_are_there,trust_yourself",no_period,none
"You are human
This is real life
This is not a game
Trust your gut",0.0,100.0,0.0,384,"human,real_life,not_game,trust_gut",no_period,none
"You are human
This is real life
This is not a game
Listen to yourself",0.26041666666666663,99.73958333333334,0.5097516283820636,384,"human,real_life,not_game,listen_to",no_period,none
